Method,Hit@1,Hit@5,Hit@10,Recall@5,Recall@10,MRR@10,nDCG@10
bm25,0.732899,0.827362,0.850163,0.822316,0.845596,0.772240,0.789904
dense,0.736156,0.830619,0.850163,0.820979,0.842343,0.776913,0.790321
hybrid,0.758958,0.872964,0.902280,0.863867,0.894461,0.804098,0.824544
hybrid_reranker,0.788274,0.879479,0.902280,0.869374,0.887964,0.827157,0.839429
