Method,Hit@1,Recall@5,Recall@10,MRR@10,nDCG@10
bm25,1.000000,1.000000,1.000000,1.000000,1.000000
dense,0.400000,0.636000,0.724000,0.498705,0.552471
hybrid,0.998000,1.000000,1.000000,0.999000,0.999262
hybrid_reranker,0.994000,1.000000,1.000000,0.996667,0.997524
